CentroidsX_mm,CentroidsY_mm,x_relative_pos_mm,y_relative_pos_mm,calib_x_pos_mm,calib_y_pos_mm,calib_z_pos_mm,y_offset_to_fluor_mm,name
-2.2143,-46.9894,39.8572,-22.3759,-43.75,-28.5,-91.0,87.75,A1_A2_B1_B2
-11.07145,-46.9894,31.00005,-22.3759,0,0,0,0,A3_A4_B3_B4
-19.928600000000003,-46.9894,22.142899999999997,-22.3759,0,0,0,0,A5_A6_B5_B6
-28.785800000000002,-46.9894,13.2857,-22.3759,0,0,0,0,A7_A8_B7_B8
-37.6429,-46.9894,4.428599999999999,-22.3759,0,0,0,0,A9_A10_B9_B10
-46.5001,-46.9894,-4.428599999999999,-22.3759,0,0,0,0,A11_A12_B11_B12
-55.3572,-46.9894,-13.285699999999999,-22.3759,0,0,0,0,A13_A14_B13_B14
-64.21440000000001,-46.9894,-22.142900000000004,-22.3759,0,0,0,0,A15_A16_B15_B16
-73.07155,-46.9894,-31.000049999999995,-22.3759,0,0,0,0,A17_A18_B17_B18
-81.92869999999999,-46.9894,-39.8572,-22.3759,0,0,0,0,A19_A20_B19_B20
-2.2143,-38.03905,39.8572,-13.425550000000001,0,0,0,0,C1_C2_D1_D2
-11.07145,-38.03905,31.00005,-13.425550000000001,0,0,0,0,C3_C4_D3_D4
-19.928600000000003,-38.03905,22.142899999999997,-13.425550000000001,0,0,0,0,C5_C6_D5_D6
-28.785800000000002,-38.03905,13.2857,-13.425550000000001,0,0,0,0,C7_C8_D7_D8
-37.6429,-38.03905,4.428599999999999,-13.425550000000001,0,0,0,0,C9_C10_D9_D10
-46.5001,-38.03905,-4.428599999999999,-13.425550000000001,0,0,0,0,C11_C12_D11_D12
-55.3572,-38.03905,-13.285699999999999,-13.425550000000001,0,0,0,0,C13_C14_D13_D14
-64.21440000000001,-38.03905,-22.142900000000004,-13.425550000000001,0,0,0,0,C15_C16_D15_D16
-73.07155,-38.03905,-31.000049999999995,-13.425550000000001,0,0,0,0,C17_C18_D17_D18
-81.92869999999999,-38.03905,-39.8572,-13.425550000000001,0,0,0,0,C19_C20_D19_D20
-2.2143,-29.0887,39.8572,-4.475200000000001,0,0,0,0,E1_E2_F1_F2
-11.07145,-29.0887,31.00005,-4.475200000000001,0,0,0,0,E3_E4_F3_F4
-19.928600000000003,-29.0887,22.142899999999997,-4.475200000000001,0,0,0,0,E5_E6_F5_F6
-28.785800000000002,-29.0887,13.2857,-4.475200000000001,0,0,0,0,E7_E8_F7_F8
-37.6429,-29.0887,4.428599999999999,-4.475200000000001,0,0,0,0,E9_E10_F9_F10
-46.5001,-29.0887,-4.428599999999999,-4.475200000000001,0,0,0,0,E11_E12_F11_F12
-55.3572,-29.0887,-13.285699999999999,-4.475200000000001,0,0,0,0,E13_E14_F13_F14
-64.21440000000001,-29.0887,-22.142900000000004,-4.475200000000001,0,0,0,0,E15_E16_F15_F16
-73.07155,-29.0887,-31.000049999999995,-4.475200000000001,0,0,0,0,E17_E18_F17_F18
-81.92869999999999,-29.0887,-39.8572,-4.475200000000001,0,0,0,0,E19_E20_F19_F20
-2.2143,-20.1383,39.8572,4.475199999999997,0,0,0,0,G1_G2_H1_H2
-11.07145,-20.1383,31.00005,4.475199999999997,0,0,0,0,G3_G4_H3_H4
-19.928600000000003,-20.1383,22.142899999999997,4.475199999999997,0,0,0,0,G5_G6_H5_H6
-28.785800000000002,-20.1383,13.2857,4.475199999999997,0,0,0,0,G7_G8_H7_H8
-37.6429,-20.1383,4.428599999999999,4.475199999999997,0,0,0,0,G9_G10_H9_H10
-46.5001,-20.1383,-4.428599999999999,4.475199999999997,0,0,0,0,G11_G12_H11_H12
-55.3572,-20.1383,-13.285699999999999,4.475199999999997,0,0,0,0,G13_G14_H13_H14
-64.21440000000001,-20.1383,-22.142900000000004,4.475199999999997,0,0,0,0,G15_G16_H15_H16
-73.07155,-20.1383,-31.000049999999995,4.475199999999997,0,0,0,0,G17_G18_H17_H18
-81.92869999999999,-20.1383,-39.8572,4.475199999999997,0,0,0,0,G19_G20_H19_H20
-2.2143,-11.18795,39.8572,13.425549999999998,0,0,0,0,I1_I2_J1_J2
-11.07145,-11.18795,31.00005,13.425549999999998,0,0,0,0,I3_I4_J3_J4
-19.928600000000003,-11.18795,22.142899999999997,13.425549999999998,0,0,0,0,I5_I6_J5_J6
-28.785800000000002,-11.18795,13.2857,13.425549999999998,0,0,0,0,I7_I8_J7_J8
-37.6429,-11.18795,4.428599999999999,13.425549999999998,0,0,0,0,I9_I10_J9_J10
-46.5001,-11.18795,-4.428599999999999,13.425549999999998,0,0,0,0,I11_I12_J11_J12
-55.3572,-11.18795,-13.285699999999999,13.425549999999998,0,0,0,0,I13_I14_J13_J14
-64.21440000000001,-11.18795,-22.142900000000004,13.425549999999998,0,0,0,0,I15_I16_J15_J16
-73.07155,-11.18795,-31.000049999999995,13.425549999999998,0,0,0,0,I17_I18_J17_J18
-81.92869999999999,-11.18795,-39.8572,13.425549999999998,0,0,0,0,I19_I20_J19_J20
-2.2143,-2.2376,39.8572,22.375899999999998,0,0,0,0,K1_K2_L1_L2
-11.07145,-2.2376,31.00005,22.375899999999998,0,0,0,0,K3_K4_L3_L4
-19.928600000000003,-2.2376,22.142899999999997,22.375899999999998,0,0,0,0,K5_K6_L5_L6
-28.785800000000002,-2.2376,13.2857,22.375899999999998,0,0,0,0,K7_K8_L7_L8
-37.6429,-2.2376,4.428599999999999,22.375899999999998,0,0,0,0,K9_K10_L9_L10
-46.5001,-2.2376,-4.428599999999999,22.375899999999998,0,0,0,0,K11_K12_L11_L12
-55.3572,-2.2376,-13.285699999999999,22.375899999999998,0,0,0,0,K13_K14_L13_L14
-64.21440000000001,-2.2376,-22.142900000000004,22.375899999999998,0,0,0,0,K15_K16_L15_L16
-73.07155,-2.2376,-31.000049999999995,22.375899999999998,0,0,0,0,K17_K18_L17_L18
-81.92869999999999,-2.2376,-39.8572,22.375899999999998,0,0,0,0,K19_K20_L19_L20
