plate_index,row,column,plate_name,experiment_name,lifespan,fluorescence,fluorescence_times,fluorescence_UV,fluorescence_BLUE,fluorescence_GREEN,fluorescence_RED
0,0,0,t_1,GLS371_testing,0,1,100,0,0,100,0
1,0,1,NONE,NONE,1,0,100,0,0,0,0
2,0,2,NONE,NONE,1,0,100,0,0,0,0
3,0,3,NONE,NONE,1,1,100,100,100,100,100
4,0,4,NONE,NONE,1,1,100,100,100,100,100
5,0,5,NONE,NONE,1,1,100,100,100,100,100
6,0,6,NONE,NONE,1,1,100,100,100,100,100
7,0,7,t_2,GLS371_testing,0,1,100,0,0,100,0
8,1,0,NONE,NONE,1,1,100,100,100,100,100
9,1,1,NONE,NONE,1,1,100,100,100,100,100
10,1,2,NONE,NONE,1,1,100,100,100,100,100
11,1,3,NONE,NONE,1,1,100,100,100,100,100
12,1,4,NONE,NONE,1,1,100,100,100,100,100
13,1,5,NONE,NONE,1,1,100,100,100,100,100
14,1,6,NONE,NONE,1,1,100,100,100,100,100
15,1,7,NONE,NONE,1,1,100,100,100,100,100
16,2,0,NONE,NONE,1,1,100,100,100,100,100
17,2,1,NONE,NONE,1,1,100,100,100,100,100
18,2,2,NONE,NONE,1,1,100,100,100,100,100
19,2,3,NONE,NONE,1,1,100,100,100,100,100
20,2,4,NONE,NONE,1,1,100,100,100,100,100
21,2,5,NONE,NONE,1,1,100,100,100,100,100
22,2,6,NONE,NONE,1,1,100,100,100,100,100
23,2,7,NONE,NONE,1,1,100,100,100,100,100
24,3,0,NONE,NONE,1,1,100,100,100,100,100
25,3,1,NONE,NONE,1,1,100,100,100,100,100
26,3,2,NONE,NONE,1,1,100,100,100,100,100
27,3,3,NONE,NONE,1,1,100,100,100,100,100
28,3,4,NONE,NONE,1,1,100,100,100,100,100
29,3,5,NONE,NONE,1,1,100,100,100,100,100
30,3,6,NONE,NONE,1,1,100,100,100,100,100
31,3,7,NONE,NONE,1,1,100,100,100,100,100
32,4,0,NONE,NONE,1,1,100,100,100,100,100
33,4,1,NONE,NONE,1,1,100,100,100,100,100
34,4,2,NONE,NONE,1,1,100,100,100,100,100
35,4,3,NONE,NONE,1,1,100,100,100,100,100
36,4,4,NONE,NONE,1,1,100,100,100,100,100
37,4,5,NONE,NONE,1,1,100,100,100,100,100
38,4,6,NONE,NONE,1,1,100,100,100,100,100
39,4,7,NONE,NONE,1,1,100,100,100,100,100
40,5,0,NONE,NONE,1,1,100,100,100,100,100
41,5,1,NONE,NONE,1,1,100,100,100,100,100
42,5,2,NONE,NONE,1,1,100,100,100,100,100
43,5,3,NONE,NONE,1,1,100,100,100,100,100
44,5,4,NONE,NONE,1,1,100,100,100,100,100
45,5,5,NONE,NONE,1,1,100,100,100,100,100
46,5,6,NONE,NONE,1,1,100,100,100,100,100
47,5,7,NONE,NONE,1,1,100,100,100,100,100
48,6,0,NONE,NONE,1,1,100,100,100,100,100
49,6,1,NONE,NONE,1,1,100,100,100,100,100
50,6,2,NONE,NONE,1,1,100,100,100,100,100
51,6,3,NONE,NONE,1,1,100,100,100,100,100
52,6,4,NONE,NONE,1,1,100,100,100,100,100
53,6,5,NONE,NONE,1,1,100,100,100,100,100
54,6,6,NONE,NONE,1,1,100,100,100,100,100
55,6,7,NONE,NONE,1,1,100,100,100,100,100
56,7,0,NONE,NONE,1,1,100,100,100,100,100
57,7,1,NONE,NONE,1,1,100,100,100,100,100
58,7,2,NONE,NONE,1,1,100,100,100,100,100
59,7,3,NONE,NONE,1,1,100,100,100,100,100
60,7,4,NONE,NONE,1,1,100,100,100,100,100
61,7,5,NONE,NONE,1,1,100,100,100,100,100
62,7,6,NONE,NONE,1,1,100,100,100,100,100
63,7,7,NONE,NONE,1,1,100,100,100,100,100
64,8,0,NONE,NONE,1,0,100,0,0,0,0
65,8,1,NONE,NONE,1,1,100,100,100,100,100
66,8,2,NONE,NONE,1,1,100,100,100,100,100
67,8,3,NONE,NONE,1,1,100,100,100,100,100
68,8,4,NONE,NONE,1,1,100,100,100,100,100
69,8,5,NONE,NONE,1,1,100,100,100,100,100
70,8,6,NONE,NONE,1,1,100,100,100,100,100
71,8,7,NONE,NONE,1,0,100,0,0,0,0
